X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
6,5,may,sat,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0.0
7,5,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
8,6,aug,mon,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
2,4,aug,wed,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
4,6,mar,mon,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
5,6,mar,sat,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99
4,3,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44
1,4,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0
2,4,aug,wed,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
2,4,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
7,4,sep,fri,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72
7,4,jul,sat,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
6,5,sep,thu,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
4,3,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
6,5,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0
8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0
